Vial_no.,date set,date coll.,location,Infusion,genus,species,sex,gravid,parity,bloodfed,diff
1,6/15/2015,6/17/2015,dev.cent.,grass,Ae.,japonicus,female,yes,,no,2
2,6/15/2015,6/17/2015,dev.cent.,grass,Ae.,triseriatus sl,female,yes,,no,2
3,6/15/2015,6/17/2015,dev.cent.,grass,Cx.,restuans,female,yes,,no,2
4,6/15/2015,6/17/2015,dev.cent.,grass,Ae.,japonicus,female,no,,no,2
5,6/15/2015,6/17/2015,Church,oak,Ae.,triseriatus sl,female,no,,no,2
6,6/15/2015,6/17/2015,Church,oak,Cx.,restuans,female,yes,,no,2
7,6/15/2015,6/17/2015,Church,oak,Cx.,restuans,female,yes,,no,2
8,6/15/2015,6/17/2015,Church,grass,Ae.,japonicus,female,yes,,no,2
9,6/15/2015,6/17/2015,Church,grass,Ae.,japonicus,female,yes,,no,2
10,6/15/2015,6/17/2015,Church,grass,Ae.,japonicus,female,no,,no,2
11,6/15/2015,6/17/2015,Church,grass,Ae.,japonicus,female,no,,no,2
12,6/15/2015,6/17/2015,Church,grass,Ae.,japonicus,female,no,,no,2
13,6/15/2015,6/17/2015,Church,grass,Ae.,japonicus,female,no,,no,2
14,6/15/2015,6/17/2015,Church,grass,Ae.,triseriatus sl,female,yes,,no,2
15,6/15/2015,6/17/2015,Church,grass,Ae.,triseriatus sl,female,no,,no,2
16,6/15/2015,6/17/2015,Church,grass,Cx.,restuans,female,yes,,no,2
17,6/15/2015,6/17/2015,Church,grass,Cx.,restuans,female,yes,,no,2
18,6/15/2015,6/17/2015,Church,grass,Cx.,restuans,female,yes,,no,2
19,6/15/2015,6/17/2015,HHS,oak,Cx.,restuans,female,yes,,no,2
20,6/15/2015,6/17/2015,HHS,oak,Ae.,triseriatus sl,female,yes,,no,2
21,6/15/2015,6/17/2015,HHS,oak,Ae.,triseriatus sl,female,yes,,no,2
22,6/15/2015,6/17/2015,HHS,oak,Ae.,japonicus,female,yes,,no,2
23,6/15/2015,6/17/2015,HHS,oak,Ae.,japonicus,female,yes,,no,2
24,6/15/2015,6/17/2015,HHS,grass,Ae.,japonicus,female,yes,,no,2
25,6/15/2015,6/17/2015,HHS,grass,Ae.,triseriatus sl,female,yes,,no,2
26,6/15/2015,6/17/2015,HHS,grass,Ae.,triseriatus sl,female,yes,,no,2
27,6/15/2015,6/17/2015,HHS,grass,Ae.,triseriatus sl,female,yes,,no,2
28,6/17/2015,6/19/2015,Church,grass,Ae.,japonicus,female,yes,,no,2
29,6/17/2015,6/19/2015,Church,grass,Ae.,japonicus,female,yes,,no,2
30,6/17/2015,6/19/2015,Church,grass,Ae.,japonicus,female,yes,,no,2
31,6/17/2015,6/19/2015,Church,grass,Ae.,japonicus,female,yes,,no,2
32,6/17/2015,6/19/2015,Church,grass,Ae.,japonicus,female,yes,,no,2
33,6/17/2015,6/19/2015,Church,grass,Ae.,japonicus,female,yes,,no,2
34,6/17/2015,6/19/2015,Church,grass,Ae.,japonicus,female,yes,,no,2
35,6/17/2015,6/19/2015,Church,grass,Ae.,japonicus,female,yes,,no,2
36,6/17/2015,6/19/2015,Church,grass,Ae.,triseriatus sl,female,yes,,no,2
37,6/17/2015,6/19/2015,Church,grass,Ae.,japonicus,female,no,,no,2
38,6/17/2015,6/19/2015,Church,oak,Ae.,japonicus,female,yes,,no,2
39,6/17/2015,6/19/2015,Church,oak,Ae.,japonicus,female,yes,,no,2
40,6/17/2015,6/19/2015,Church,oak,Ae.,japonicus,female,yes,,no,2
41,6/17/2015,6/19/2015,Church,oak,Ae.,triseriatus sl,female,no,,no,2
42,6/17/2015,6/19/2015,Church,oak,Ae.,triseriatus sl,female,no,,no,2
43,6/17/2015,6/19/2015,Church,oak,Ae.,triseriatus sl,female,yes,,no,2
44,6/17/2015,6/19/2015,Church,oak,Cx.,restuans,female,no,,no,2
45,6/17/2015,6/19/2015,Church,oak,Ae.,japonicus,female,yes,,no,2
46,6/17/2015,6/19/2015,Church,oak,Ae.,triseriatus sl,female,no,,no,2
47,6/17/2015,6/19/2015,Church,oak,Ae.,japonicus,female,yes,,no,2
48,6/17/2015,6/19/2015,HHS,grass,Ae.,triseriatus sl,female,no,,no,2
49,6/17/2015,6/19/2015,HHS,grass,Ae.,triseriatus sl,female,yes,,no,2
50,6/17/2015,6/19/2015,HHS,grass,Ae.,triseriatus sl,female,yes,,no,2
51,6/17/2015,6/19/2015,HHS,grass,Ae.,japonicus,female,yes,,no,2
52,6/17/2015,6/19/2015,dev.cent.,oak,Ae.,japonicus,female,yes,,no,2
53,6/17/2015,6/19/2015,dev.cent.,oak,Cx.,territans,female,yes,,no,2
54,6/17/2015,6/19/2015,dev.cent.,oak,Cx.,restuans,female,no,,no,2
55,6/17/2015,6/19/2015,dev.cent.,oak,Cx.,restuans,female,yes,,no,2
56,6/17/2015,6/19/2015,dev.cent.,grass,Cx.,restuans,female,yes,,no,2
57,6/17/2015,6/19/2015,dev.cent.,grass,Ae.,triseriatus sl,female,yes,,no,2
58,6/17/2015,6/19/2015,dev.cent.,grass,Ae.,triseriatus sl,female,yes,,no,2
59,6/17/2015,6/19/2015,dev.cent.,grass,Cx.,restuans,female,yes,,no,2
60,6/22/2015,6/24/2015,Church,grass,Ae.,japonicus,female,yes,,no,2
61,6/22/2015,6/24/2015,Church,grass,Ae.,japonicus,female,yes,,no,2
62,6/22/2015,6/24/2015,Church,grass,Ae.,japonicus,female,yes,,no,2
63,6/22/2015,6/24/2015,Church,grass,Ae.,japonicus,female,yes,,no,2
64,6/22/2015,6/24/2015,Church,grass,Ae.,japonicus,female,no,,no,2
65,6/22/2015,6/24/2015,Church,grass,Ae.,japonicus,female,no,,no,2
66,6/22/2015,6/24/2015,Church,grass,Ae.,japonicus,female,no,,no,2
67,6/22/2015,6/24/2015,Church,grass,Ae.,japonicus,female,yes,,no,2
68,6/22/2015,6/24/2015,Church,grass,Ae.,japonicus,female,yes,,no,2
69,6/22/2015,6/24/2015,Church,grass,Ae.,japonicus,female,yes,,no,2
70,6/22/2015,6/24/2015,Church,grass,Ae.,japonicus,female,no,,no,2
71,6/22/2015,6/24/2015,Church,grass,Ae.,albopictus,female,no,,no,2
72,6/22/2015,6/24/2015,Church,grass,Ae.,triseriatus sl,female,yes,,no,2
73,6/22/2015,6/24/2015,Church,grass,Ae.,triseriatus sl,female,yes,,no,2
74,6/22/2015,6/24/2015,church,grass,Cx.,restuans,female,yes,,no,2
75,6/22/2015,6/24/2015,HHS,grass,Ae.,triseriatus sl,female,yes,,no,2
76,6/22/2015,6/24/2015,HHS,grass,Ae.,triseriatus sl,female,yes,,no,2
77,6/22/2015,6/24/2015,HHS,grass,Ae.,triseriatus sl,female,yes,,no,2
78,6/22/2015,6/24/2015,HHS,grass,Ae.,triseriatus sl,female,yes,,no,2
79,6/22/2015,6/24/2015,HHS,grass,Ae.,triseriatus sl,female,yes,,no,2
80,6/22/2015,6/24/2015,HHS,grass,Ae.,triseriatus sl,female,yes,,no,2
81,6/22/2015,6/24/2015,HHS,grass,Ae.,triseriatus sl,female,yes,,no,2
82,6/22/2015,6/24/2015,HHS,grass,Cx.,restuans,female,yes,,no,2
83,6/22/2015,6/24/2015,Church,oak,Ae.,japonicus,female,no,,no,2
