,,HHS,,,,,,Church,,,,,,devCent,,,,,,Species Total,,,,,,
,,Sum,Mean,Variance,Median,Mode,Range,Sum,Mean,Variance,Median,Mode,Range,Sum,Mean,Variance,Median,Mode,Range,Sum,Mean,Variance,Median,Mode,Range
Aedes triseriatus,Site Total,65,2.7083333333333335,5.373263888888889,2.0,2,11, 		65,2.7083333333333335,4.623263888888888,2.0,2,8,		26,1.0833333333333333,1.4097222222222223,1.0,0,4,		156,2.1666666666666665,4.388888888888889,		2.0,2,		11
,Oak,19,1.5833333333333333,1.2430555555555556,2.0,2,4, 		19,1.5833333333333333,1.576388888888889,1.5,0,4,		6,0.5,0.4166666666666667,0.0,0,2
,Grass,46,3.8333333333333335,6.972222222222221,3.0,3,10, 		46,3.8333333333333335,5.138888888888888,4.0,5,8,		20,1.6666666666666667,1.722222222222222,1.0,1,4
Aedes japonicus,Site Total,62,2.5833333333333335,7.576388888888888,2.0,2,10, 		162,6.75,21.4375,6.5,3,18,		41,1.7083333333333333,3.289930555555556,1.0,0,6,		265,3.6805555555555554,15.606288580246915,		2.0,0,		18
,Oak,44,3.6666666666666665,11.555555555555557,2.5,0,10, 		45,3.75,10.020833333333334,3.5,4,12,		26,2.1666666666666665,5.3055555555555545,1.0,0,6
,Grass,18,1.5,1.25,1.0,1,4, 		117,9.75,14.854166666666666,9.5,7,15,		15,1.25,0.8541666666666666,1.0,1,3
Aedes albopictus,Site Total,0,0.0,0.0,0.0,0,0, 		3,0.125,0.109375,0.0,0,1,		1,0.041666666666666664,0.03993055555555556,0.0,0,1,		4,0.05555555555555555,0.05246913580246913,		0.0,0,		1
,Oak,0,0.0,0.0,0.0,0,0, 		0,0.0,0.0,0.0,0,0,		0,0.0,0.0,0.0,0,0
,Grass,0,0.0,0.0,0.0,0,0, 		3,0.25,0.1875,0.0,0,1,		1,0.08333333333333333,0.07638888888888887,0.0,0,1
Culex restuans,Site Total,8,0.3333333333333333,0.47222222222222215,0.0,0,3, 		16,0.6666666666666666,1.138888888888889,0.0,0,4,		20,0.8333333333333334,0.722222222222222,1.0,0,2,		44,0.6111111111111112,0.8209876543209876,		0.0,0,		4
,Oak,3,0.25,0.1875,0.0,0,1, 		7,0.5833333333333334,0.5763888888888888,0.0,0,2,		11,0.9166666666666666,0.576388888888889,1.0,1,2
,Grass,5,0.4166666666666667,0.7430555555555555,0.0,0,3, 		9,0.75,1.6875,0.0,0,4,		9,0.75,0.8541666666666666,0.0,0,2
Culex territans,Site Total,3,0.125,0.109375,0.0,0,1, 		0,0.0,0.0,0.0,0,0,		8,0.3333333333333333,0.22222222222222224,0.0,0,1,		11,0.1527777777777778,0.1294367283950617,		0.0,0,		1
,Oak,0,0.0,0.0,0.0,0,0, 		0,0.0,0.0,0.0,0,0,		5,0.4166666666666667,0.24305555555555555,0.0,0,1
,Grass,3,0.25,0.1875,0.0,0,1, 		0,0.0,0.0,0.0,0,0,		3,0.25,0.1875,0.0,0,1
